tweet,soft_labels_task1,soft_labels_task2,soft_labels_task3
"@BROBEARINDY @moneyymaya There are women in those circles but even they are controlled by those men to some degree, for the longest time the only way they could get money is if their husband died &amp; left it to them. Feminism is in no way as far reaching or damaging as the patriarchy &amp; toxic androcentrism","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333]","[0.16666666666666666, 0.6666666666666666, 0.0, 0.0, 0.0, 0.5]"
"Pets give so many, many of us our true humanity. Stop trying to strip us of our genuine humanity, for the sake of androcentrism, or I will use “bad” words. https://t.co/bioja7I90r","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.5, 0.0]","[0.3333333333333333, 0.5, 0.0, 0.0, 0.0, 0.16666666666666666]"
The sexist media discovered today that the CM of Bihar is sexist. What an irony! Hail Androcentrism!!,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.0, 0.3333333333333333, 0.5]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0]"
Antique sign on Sntiques Roadshow from 1935.The back of the sign said: “Doctress” which apparently also meant a woman with “magic powers” at the time . . .🤔#unbelievable #doctor #md #masculinegeneric #androcentrism #wowjustwow #youvecomealongwaybaby https://t.co/hL92x40F4b,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666]"
Among the following which statement is not associated with ‘Androcentrism’ - https://t.co/JXCf9z07xB,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
Quite excited to present my work on gender &amp; perceptions of apologies as part of our #SPSP2022 symposium on androcentrism with @adrianalgermano @Asma__Ghani and @Imlaura_vianna ! Come learn if you should really be sorry for saying sorry! https://t.co/Og4qot1s7G,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0]"
"@adamfare1996 I did my doctorate on this, autistic  girls are super skilled at masking and also diagnostic criteria are based on male autistic behaviours! Totally skewed statistic! Androcentrism alive and well in autism! But that’s just my view!","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666]","[0.16666666666666666, 0.5, 0.0, 0.0, 0.0, 0.3333333333333333]"
"@Bornawoman99 @jk_rowling Androcentrism has always been next to American insularity, after all","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.5]","[0.3333333333333333, 0.5, 0.0, 0.0, 0.0, 0.16666666666666666]"
"This video beautifully shows how ridiculous androcentrism is and puts all earthly religions, which include man as the most central aspect of the entire universe, into a sobering perspective.The truth is: we are insignificant. https://t.co/yPyw8xCWm6","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.0, 0.3333333333333333]","[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333]"
"Just started leafing through the oldest #anthropocene-related book in my possession, ""Man's Role in Changing the Face of the Earth"" (1956) Reminds me how jarring I found the unrelenting androcentrism even as a girl growing up in the 60s.#WomenInSTEM #WomeninScienceDay https://t.co/5Gt1LzKGHh","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.16666666666666666, 0.5]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.0, 0.6666666666666666]"
Androgynous Mind https://t.co/JPeQrYRFit via @YouTube,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0]"
Virginia Woolf on Why the Best Mind Is the Androgynous Mind – The Marginalian https://t.co/CzfwcDbuzd,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Nearly a century before the term ""nonbinary"" existed, Virginia Woolf wrote beautifully about why the mind who embodies that is the best mind https://t.co/rAFh9fHwgQ","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"my mom: i gave birth to you, i know everything about you my passion for videogames that I wanna turn into a job, my androgynous mind and my bisexual ass: https://t.co/WL8PchaZvE","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0]"
"Timeless Essays and Nonfiction by Great Writers. ""In each of us two powers preside, one male, one female… The androgynous mind is resonant and porous… naturally creative, incandescent and undivided."" Virginia Woolf https://t.co/VxurdUDck1 https://t.co/frtHcrk9XN","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333]"
@MaineTrendTeam @mainedcm Androgynous (mind).MAINExLazada 1111SuperShow#LazadaxMaine @mainedcm #MaineForLazada1111 #MaineMendoza @mainedcm,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"The androgynous mind is resonant and porous; it transmits emotion without impediment; it is naturally creative, incandescent and undivided ~Virginia Woolf","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
"#nowplaying Sonic Youth / Androgynous Mind / Experimental Jet Set, Trash And No Star [@thesonicyouth] ♫  https://t.co/1P3tTfUilk","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Virginia Woolf on Why the Best Mind Is the Nonbinary Mind https://t.co/r9EsGFMd7Z via @brainpicker,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
I’m certainly for all intents and purposes cis female and have given this thought. But specifically it’s cis in the way Virginia Woolf talks about the androgynous mind. https://t.co/fWByb3WoY4,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@GHOSTBlTCH one of my sy favs tbh! androgynous mind, bull in the heather, self obsessed and sexxee maybe","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
"Enemy Turn [Commission]Full audio: https://t.co/KpMro6tjHdBlindsided by an enemy can have serious consequences in SMTV (Runtime - 4:02)Tags: Blowjob, Defeated, spitroast, swallowing, androgynous, mind break, size difference https://t.co/sEgAsPMquN","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0]","[0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.5, 0.0]"
"@nottaconformist @blingqueendiva1 Hey. No worries. Don’t sweat it. Kinda have an ‘androgynous mind’, so…? *shrug*You’re not the first. Am sure you won’t be the last. 👍🏼😊","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
Earth Angel (Androgynous Mind) https://t.co/HbVONFc6vS,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
average hacker fan vs average earth angel (androgynous mind) enthusiast,"[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@LilyLilyMaynard @MistressLemLem Splendid woman. I wonder where this fits in relation to Virginia Woolf on the androgynous mind. Woolf wasn’t speaking anatomically, of course. I also wonder if she (Woolf) sometimes tried too hard to quiet potential opposition.","[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@Louise_m_perry Not sure if I have an androgynous mind or a very wide vocabulary, but I recognised almost all of both columns and could guess the ones I didn't pretty well.","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0]"
"This Sunday! A Room of One's Own in our Virginia Woolf Season, with @EarlyModernDoc. Why is Shakespeare important in Woolf's thinking about women, writing, and the androgynous mind?  • Sun. 24 October 2021, 6 pm. Brilliant.https://t.co/VIF3Gt3pLy https://t.co/GATzI88qAK","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
Virginia Woolf on Why the Best Mind Is the Androgynous Mind https://t.co/8HoO27oDzy via @brainpicker,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.6666666666666666, 0.0, 0.0, 0.0, 0.6666666666666666]"
"@HeatherIsUnsane I guess I also have an inner feminine aspect that these games allow me to explore, to whatever limited extent. I still feel like a straight cis male, but I feel like I have a fairly androgynous mind.","[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0]"
"@BrenCasts @OnFireSemmler Who cares about a more welcoming place? There is nothing stopping a woman being as good as a man playing the game. Everyone is toxic to everyone regardless of gender. Put in the work and you can reach the top, hurting your feelings during the climb will not make a difference.","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.16666666666666666, 0.0]","[0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666]"
@rachelparris As Fanny Hurst said “A woman must be twice as good as a man to get half as far.”,"[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333]"
"y'all wanna hear a joke i came up with (while making lasagna) that's almost as good as ""a man walks into a café, splash"" 👀 please say yes","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@r0tt3n4pp73 “Woah I am not here saying youre gay Regina , I’m just saying I wouldn’t mind ducking you again and that we would both enjoy it ,” she laughs and swallows down more before topping off both of their glasses . “And I am pretty sure I could get you off just as good as a man +","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.5, 0.0, 0.16666666666666666]","[0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.16666666666666666]"
@davidwa41615213 Blah blah…she writes as good as a man…blah blah,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0]","[0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.6666666666666666]"
"""Men and women should be equal. Why do you always think I'm not as good as a man?"" that slap and changge's tears tho#WeTVawards2021XDilraba#TheLongBallad https://t.co/p9oFVEPuFk","[0.5, 0.5]","[0.5, 0.0, 0.3333333333333333, 0.16666666666666666]","[0.5, 0.5, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@TrilbeeReviews Sexist towards men saying men, not women commit crimes. Sexist towards women saying they can't lead a TV show or film or be as good as a man or be a role model.He's an ignorant, stupid twat.","[0.0, 1.0]","[0.0, 0.16666666666666666, 0.3333333333333333, 0.5]","[0.0, 0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.5]"
@GDTalbot @FoxNews You got daughters?  Do you actually tell them that no matter how hard they work they’ll never be as good as a man?  THAT is sexist as fuck! …and just not true!,"[0.0, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666]","[0.0, 0.5, 0.16666666666666666, 0.0, 0.0, 0.8333333333333334]"
@teslatize @WholeMarsBlog @elonmusk Why insult her that way?  She can handle it every bit as good as a man.,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0]","[0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]"
"When you’re a woman, you have to be twice as good as a man to succeedWhen you’re a PoC you have to be three times as good as any White person to succeedWhen you’re @LewisHamilton you have to be four times as good as the nearest driver to succeed #Hamilton #F1 #BrazilGP","[0.3333333333333333, 0.6666666666666666]","[0.3333333333333333, 0.0, 0.6666666666666666, 0.0]","[0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333]"
&gt;one of the only female racers in the show&gt;needs another woman to help her drive as good as a man&gt;loses control of the car for no real reason https://t.co/uadpW343mu,"[0.0, 1.0]","[0.0, 0.5, 0.3333333333333333, 0.16666666666666666]","[0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.8333333333333334]"
"@RJBurner9000 @peacebang Dude I use a Hitachi wand semi-regularly and can still say I'm never disappointed when my husband goes down on me or uses his hands. It's a different sensation entirely, and sure sometimes it's faster with the wand, but it doesn't feel nearly as good as a man who listens.","[0.5, 0.5]","[0.5, 0.5, 0.0, 0.0]","[0.5, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.3333333333333333]"
Shuler King - Ladies Please Stop This https://t.co/FYQTIDFfw6 via @YouTube well it looks bout as good as a man with his pants hanging down to his knees while he has cell phone in one hand and holding up his pants with the other 😌☺️😔,"[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666]","[0.16666666666666666, 0.0, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
"@mtgreenee Why, you have personally demonstrated your capabilities and desire to use advanced weapons. Are you saying your not as good as a man when it comes to warfare?  Pick a lane.","[0.16666666666666666, 0.8333333333333334]","[0.16666666666666666, 0.5, 0.3333333333333333, 0.0]","[0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666]"
"@SaftyInNumbers @OxfordDiplomat Why do #Democratic women always show women as victims in reproductive areas?Every #Democrat says women can do everything better or as good as a man, then, protect yourself.","[0.0, 1.0]","[0.0, 0.5, 0.3333333333333333, 0.16666666666666666]","[0.0, 0.5, 0.16666666666666666, 0.0, 0.0, 0.5]"
"My sister told my father she was bringing back the ponies from the bog today. My aul lad asked if either of my brothers were coming for a bit of muscle. My sister says she's bringing me.. ""awh sure suppose that's as good as a man"". Thanks pops😂","[0.5, 0.5]","[0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.5, 0.0, 0.0, 0.0, 0.0, 0.5]"
I’m probably very late to this but after a trip to Syria in the mid 1930s Agatha Christie observed and wrote this in 1946!: “A Kurdish woman has no doubt that she is as good as a man or better!” https://t.co/voJrbsVVUK,"[0.6666666666666666, 0.3333333333333333]","[0.6666666666666666, 0.0, 0.16666666666666666, 0.0]","[0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.0, 0.16666666666666666]"
"@Bharath4tarak @urstrulyMahesh MAHESH BABU  is as good as a man , GOD has ever made. New Generation  who don’t know Super Star Krishna Garu , u can see one step better person in Mahesh Babu. 🙏💐💐💐. God Bless his children and family .","[1.0, 0.0]","[1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@nichol_ @kmendez99 @AnitaKomuves @AndreaChalupa Yeah lets show everyone a women can fuck it up just as good as a man.,"[0.8333333333333334, 0.16666666666666666]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0]","[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0]"
